    1  help
    2  man_ls
    3  man ls
    4  q
    5  ls
    6  clear
    7  ls
    8  cd
    9  cd Repo
   10  cd Desktop
   11  cd :
   12  cd :
   13  cd Repo1
   14  cd E 
   15  cd : E 
   16  cd : Repo1
   17  clear
   18  cd 
   19  cd ~
   20  ls
   21  cd Desktop
   22  ls
   23  cd Repo1
   24  cd локальный диск(E)
   25  Лcd Локальный диск Е
   26  ~ % cd Desktop
   27  Desktop % cd Data
   28  Data % pwd
   29  Data %
   30  Data % cd ..
   31  Desktop % mkdir Lesson
   32  % ls
   33  ls
   34  mkdir lesson 2
   35  Ls
   36  touch empty . txt
   37  ls
   38  ls
   39  % vim empty  . txt
   40  % vim empty.txt
   41  vim empty.txt
   42  cd Repo1
   43  cd Desktop
   44  vim empty.txt
   45  clear
   46  ls
   47  cd Desktop
   48  vim empty.txt
   49  nano emty.txt
   50  nano empty.txt
   51  cat empty.txt
   52  nano empty.txt
   53  cat empty.txt
   54  cp empty.txt
   55  pwd
   56  cp /c/Users/Admin/Desktop/empty.txt /c/Users/Admin/Downloads
   57  mv /c/Users/Admin/Desktop/empty.txt /c/Users/Admin/Downloads
   58  mv /c/Users/Admin/Downloads/empty.txt /c/Users/Admin/Desktop
   59  rm empty.txt
   60  ping
   61  ping google.com
   62  date
   63  system_profiler
   64  df-h
   65  df - h
   66  df-h
   67  DF-H
   68  DF - H
   69  DF -H
   70  df -h
   71  ifconfig
   72  idconfig
   73  if config;  clear
   74  ifconfig
   75  whoami
   76  cd desktop
   77  touch test.txt
   78  chmod 777 test.txt
   79  cd /d
   80  mkdir Lesson
   81  clear
   82  git --global user.name "Yehor Prokudin"
   83  git config --global user.name "Yegor Prokudin"
   84  git config --global user.email e.prokudin85@gmail.com
   85  git clone https://github.com/YegorProkudin/test_repo_1.git
   86  cd test_repo_1/git status
   87  cd test_repo_1 /git status
   88  cd test_repo_1/git status
   89  cd test_repo_1
   90  git status
   91  touch New.txt
   92  git status
   93  git add New.txt
   94  git status
   95  git commit -m "New file created"
   96  git status
   97  git log
   98  git branch
   99  git checkout -b new_branch
  100  git checkout "main"
  101  git checkout new_branch
  102  nano New.txt
  103  nano New.txt
  104  nano New.txt
  105  git status
  106  git commit
  107  git commit -m "New modifide"
  108  git status
  109  git branch
  110  git checkout  main
  111  git merge new_branch
  112  git branch
  113  git status
  114  git commit
  115  git checkout new_branch
  116  git merge main
  117  git status
  118  git commit
  119  git checkout main
  120  git status
  121  git commit
  122  git add New.txt
  123  git status
  124  git commit
  125  cd test_repo_1
  126  -c && rm ~/.bash_history
  127  clear
  128  git clone https://github.com/YegorProkudin/HW_10.git
  129  cd HW_10
  130  touch text_ignore.txt
  131  nano.gitignore
  132  nano text_ignore.txt
  133  git status
  134  nano .gitignore
  135  git status
  136  git add .gitignore
  137  git commit
  138  touch main_test.txt
  139  git add
  140  git add.
  141  git add .gitignore
  142  git commit
  143  git checkout -b develop
  144  git checkout develop
  145  touch develop_test.txt
  146  git add.develop_test.txt
  147  git add . develop_test.txt
  148  git commit -m 123
  149  nano develop_test.txtfile
  150  git status
  151  git commit
  152  git checkout main
  153  git merge develop
  154  git log
  155  history > command_list.csv
  156  git add .
  157  git commit
  158  cd HW_10
  159  git push
  160  cd HW_10
  161  git checkout main
  162  history > command_list.csv
  163  git add.main
  164  git add.
  165  git add
  166  git add .
  167  git commit
  168  cd HW_10
  169  git history>command_list.csv
  170  history>command_list.csv
